id,source,target,src_sentence,tar_sentence,src_true_y,AMT_src_ratings,AMT_tar_ratings
1620620,peaceful,smooth,So peaceful #vancouver @user Lighthouse Park http://url,So smooth #vancouver @user Lighthouse Park http://url,1,"[1, 1, 1, 2, 3, 3, 3, 3, 4, 5]","[3, 3, 3, 3, 3, 3, 4, 4, 4, 5]"
417850,amazing,impressive,Ale-8 Sorbet . My god this is amazing . @user Sav's Chill http://url,Ale-8 Sorbet . My god this is impressive . @user Sav's Chill http://url,1,"[1, 2, 2, 3, 3, 3, 4, 4, 4, 4]","[2, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
2025790,wonderful,impressive,I have so many wonderful people around me . From my family to friends to coworkers . Y'all are amazing . Thank you so much for putting up w/ me,I have so many impressive people around me . From my family to friends to coworkers . Y'all are amazing . Thank you so much for putting up w/ me,1,"[1, 2, 2, 2, 3, 3, 3, 3, 4, 4]","[1, 2, 2, 2, 2, 3, 3, 3, 3, 3]"
2454773,bed,crib,I think I'll spend my last day as a teenager lying in bed and crocheting .,I think I'll spend my last day as a teenager lying in crib and crocheting .,1,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[1, 1, 1, 1, 2, 2, 2, 2, 3]"
778259,pals,homies,Happy birthday to one of my best pals on the planet @user,Happy birthday to one of my best homies on the planet @user,1,"[3, 3, 3, 3, 4, 4, 4, 4, 5, 5]","[4, 4, 4, 4, 4, 5, 5, 5, 5, 5]"
2243046,precious,rare,drunk adults are precious and hilarious,drunk adults are rare and hilarious,1,"[1, 1, 1, 2, 2, 2, 2, 3, 3, 3]","[2, 2, 3, 3, 3, 3, 4, 4, 4, 5]"
2025930,wonderful,impressive,Had the blessing of leading worship this morning for the wonderful women of plane state jail ! God blows my mind ... Whole service was amazing .,Had the blessing of leading worship this morning for the impressive women of plane state jail ! God blows my mind ... Whole service was amazing .,1,"[1, 1, 2, 2, 2, 2, 2, 3, 3, 5]","[1, 2, 2, 2, 2, 2, 4, 4, 4, 5]"
2025855,wonderful,impressive,That wonderful feeling when you get home after working all day and take off your boots . I think it's called heaven ;),That impressive feeling when you get home after working all day and take off your boots . I think it's called heaven ;),1,"[1, 2, 2, 2, 4, 4, 5, 5, 5]","[1, 2, 4, 4, 4, 4, 4, 5, 5]"
1699159,fabulous,phenomenal,What a pleasant surprise from none other than the fabulous Katie Ollie http://url,What a pleasant surprise from none other than the phenomenal Katie Ollie http://url,1,"[1, 1, 2, 2, 2, 2, 2, 3, 4, 4]","[2, 2, 2, 2, 2, 3, 3, 3, 4, 5]"
1699138,fabulous,phenomenal,Salt Lake City is a fabulous suminer destination ... Sin State Nevada is 100 miles away so ...,Salt Lake City is a phenomenal suminer destination ... Sin State Nevada is 100 miles away so ...,1,"[1, 2, 2, 2, 3, 3, 3, 4, 4]","[2, 3, 3, 3, 3, 4, 4, 4, 5]"
778255,pals,homies,Well u and ur pals r always welcome to my bonfires,Well u and ur homies r always welcome to my bonfires,1,"[3, 3, 4, 4, 4, 4, 4, 4, 5]","[2, 4, 4, 4, 4, 4, 5, 5, 5]"
2078681,sweetheart,girlfriend,Dinner out with my sweetheart http://url,Dinner out with my girlfriend http://url,1,"[2, 2, 2, 2, 2, 3, 3, 3, 4, 5]","[1, 4, 5, 5, 5, 5, 5, 5, 5]"
1729109,fabulous,impressive,"Ladies and gentlemen , once again the fabulous @user saves the day ! I mean , night ! #oletsdoit","Ladies and gentlemen , once again the impressive @user saves the day ! I mean , night ! #oletsdoit",1,"[1, 1, 2, 2, 2, 2, 3, 3, 4, 4]","[3, 3, 3, 3, 3, 3, 4, 4, 4, 5]"
418035,amazing,impressive,2k13 association is amazing #justsaying,2k13 association is impressive #justsaying,1,"[1, 1, 2, 2, 2, 3, 3, 3, 4, 5]","[2, 3, 3, 3, 4, 4, 4, 4, 4, 4]"
347880,yummy,tasty,Some yummy fabrics arrived from Brenda at Pink Castle Fabrics @user @user RWQ Studio http://url,Some tasty fabrics arrived from Brenda at Pink Castle Fabrics @user @user RWQ Studio http://url,1,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 4]","[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]"
1699165,fabulous,phenomenal,I'm also fabulous haha #Faded,I'm also phenomenal haha #Faded,1,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 4]","[1, 2, 2, 3, 3, 3, 3, 4, 4, 4]"
1729120,fabulous,impressive,"and we had kind of an ice cream sundae , , fabulous , , started w pt and vegetable flower poppers , , , service again Bueno !! @user , , ,","and we had kind of an ice cream sundae , , impressive , , started w pt and vegetable flower poppers , , , service again Bueno !! @user , , ,",1,"[1, 2, 2, 2, 2, 2, 2, 3, 3, 4]","[1, 2, 2, 2, 2, 2, 3, 3, 3, 4]"
1729123,fabulous,impressive,Tan and fabulous ! @user Dana Point Harbor http://url,Tan and impressive ! @user Dana Point Harbor http://url,1,"[1, 1, 1, 1, 1, 1, 1, 2, 3, 3]","[1, 2, 2, 2, 2, 2, 2, 2, 3, 3]"
1729119,fabulous,impressive,I'm also fabulous haha #Faded,I'm also impressive haha #Faded,1,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 4]","[2, 2, 3, 3, 3, 3, 4, 5, 5, 5]"
